PRECINCTID,CONSOLIDATED WITH,NAME,STREET,CITY,STATE,ZIP
13-010,"13-030, 13-031",PHYLLIS E WILLIAMS ELEM SCH,9601 PRINCE PL,UPPER MARLBORO,MD,20774
13-011,13-032,KETTERING MIDDLE SCHOOL,65 HERRINGTON DR,UPPER MARLBORO,MD,20774
13-012,,ERNEST EVERETT JUST MIDDLE SCH,1300 CAMPUS WAY NORTH,MITCHELLVILLE,MD,20721
13-013,,KETTERING MIDDLE SCHOOL - CAFETERIA,65 HERRINGTON DR,UPPER MARLBORO,MD,20774
13-014,13-033,CHARLES H. FLOWERS HIGH SCHOOL - CAF,10001 ARDWICK ARDMORE RD,UPPER MARLBORO,MD,20774
13-015,13-034,KINGSFORD ELEM SCH - MPR,1401 ENTERPRISE RD,MITCHELLVILLE,MD,20721
13-016,,JUDITH P. HOYER MONTESSORI AT OAKCREST,929 HILL RD,LANDOVER,MD,20785
13-017,,COLUMBIA PARK ELEM SCH - GYM,1901 KENT VILLAGE DR,LANDOVER,MD,20785
13-018,13-035,COLUMBIA PARK ELEM SCH – CAF,1901 KENT VILLAGE DRIVE,LANDOVER,MD,20785
13-020,,FIRST BAPTIST CHURCH MINISTRY CTR,3600 BRIGHTSEAT ROAD,LANDOVER,MD,20785
13-021,,JAMES MCHENRY ELEMENTARY SCHOOL,8909 MCHENRY LANE,LANHAM,MD,20706
13-023,13-036,LAKE ARBOR ELEMENTARY  SCHOOL,10205 LAKE ARBOR WAY,MITCHELLVILLE,MD,20721
13-024,,LAKE ARBOR COMMUNITY CENTER,10100 LAKE ARBOR WAY,MITCHELLVILLE,MD,20721
13-025,18-003,CEDAR HEIGHTS COMMUNITY CENTER,1200 GLEN WILLOW DR,CAPITOL HEIGHTS,MD,20743
14-001,"14-018, 14-019, 14-020",HIGH BRIDGE ELEMENTARY SCHOOL,7011 HIGH BRIDGE RD,BOWIE,MD,20720
14-002,14-021,DUVAL HIGH SCHOOL,9880 GOOD LUCK RD,LANHAM,MD,20706
14-003,14-022,BOWIE HIGH SCHOOL,15200 ANNAPOLIS RD,BOWIE,MD,20715
14-004,,SAMUEL OGLE MIDDLE SCHOOL,4111 CHELMONT LA,BOWIE,MD,20715
14-005,,ROCKLEDGE ELEMENTARY SCHOOL,7701 LAUREL-BOWIE RD,BOWIE,MD,20715
14-006,,YORKTOWN ELEMENTARY SCHOOL,7301 RACE TRACK RD,BOWIE,MD,20715
14-007,,GLENN DALE VOL FIRE DEPT,11900 GLENN DALE BLVD,GLENN DALE,MD,20769
14-008,,ROBERT GODDARD MONTESSORI SCH,9850 GOOD LUCK RD,SEABROOK,MD,20706
14-009,"14-011, 14-014, 14-023",BOWIE STATE UNIVERSITY-MCKELDIN GYM,14000 JERICHO PARK RD,BOWIE,MD,20715
14-010,14-024,WEST BOWIE VILLAGE HALL,13711 ANNAPOLIS RD SUITE 103,BOWIE,MD,20720
14-012,"14-017, 14-025, 20-017",GLENN DALE COMMUNITY CENTER,11901 GLENN DALE BLVD,GLENN DALE,MD,20769
14-013,14-016,HUNTINGTON COMMUNITY CENTER,13022 8TH STREET,BOWIE,MD,20720
15-001,,MARLTON ELEMENTARY SCHOOL,8506 OLD COLONY DR SOUTH,UPPER MARLBORO,MD,20772
15-002,15-007,ARROWHEAD ELEM SCH - M/P RM,2300 SANSBURY RD,UPPER MARLBORO,MD,20772
15-003,,JAMES MADISON MIDDLE SCHOOL,7300 WOODYARD RD,UPPER MARLBORO,MD,20772
15-005,,"DR. HENRY A. WISE, JR. HIGH SCH",12650 BROOKE LA,UPPER MARLBORO,MD,20772
15-006,15-008,MELWOOD CHURCH OF THE NAZARENE,6906 WOODYARD RD,UPPER MARLBORO,MD,20772
16-001,,EDMONSTON MUNICIPAL BUILDING,5005 52ND AVE,EDMONSTON,MD,20781
16-002,,HYATTSVILLE MUNICIPAL BLDG - MPR,4310 GALLATIN ST,HYATTSVILLE,MD,20781
16-003,,HYATTSVILLE ELEMENTARY SCHOOL,5311 43RD AVE,HYATTSVILLE,MD,20781
16-004,,NICHOLAS OREM MIDDLE SCHOOL,6100 EDITORS PARK DR,HYATTSVILLE,MD,20782
16-005,,EDMONSTON REC CENTER,5100 TANGLEWOOD DR,HYATTSVILLE,MD,20781
17-001,,MOUNT RAINIER ELEM SCH,4011 32ND ST,MOUNT RAINIER,MD,20712
17-002,,BRENTWOOD TOWN HALL - WOHLFARTH BLDG,4300 39TH PL,BRENTWOOD,MD,20722
17-003,,LANGLEY PARK MCCORMICK ELEM SCH,8201 15TH AVE,HYATTSVILLE,MD,20783
17-004,,THOMAS S STONE ELEM SCH,4500 34TH ST,MOUNT RAINIER,MD,20712
17-005,"17-013, 17-016, 17-019",CAROLE HIGHLANDS ELEM SCH,1610 HANNON ST,TAKOMA PARK,MD,20912
17-006,,CESAR CHAVEZ ELEM SCH,6609 RIGGS RD,HYATTSVILLE,MD,20782
17-007,,ROLLINGCREST CHILLUM COMM CTR,6120 SARGENT RD,HYATTSVILLE,MD,20782
17-008,17-017,NORTHWESTERN HIGH SCHOOL,7000 ADELPHI ROAD,HYATTSVILLE,MD,20782
17-009,,MARY HARRIS MOTHER JONES ELEM SCHOOL,2405 TECUMSEH ST,ADELPHI,MD,20783
